panel,series,t_min,x_cm_mm,probability_density_per_mm,Rg_over_lc,Re_over_lc,probability
C,living worm 20 C,18.6667,54.103,,,,
C,living worm 20 C,18.7,54.341,,,,
C,living worm 20 C,18.7333,54.817,,,,
C,living worm 20 C,18.7667,55.259,,,,
C,living worm 20 C,18.8,55.395,,,,
C,living worm 20 C,18.8333,55.327,,,,
C,living worm 20 C,18.8667,55.055,,,,
C,living worm 20 C,18.9,56.517,,,,
C,living worm 20 C,18.9333,56.449,,,,
C,living worm 20 C,18.9667,57.537,,,,
C,living worm 20 C,19,57.605,,,,
C,living worm 20 C,19.0333,58.897,,,,
C,living worm 20 C,19.0667,64.099,,,,
C,living worm 20 C,19.1,65.969,,,,
C,living worm 20 C,19.1333,72.395,,,,
C,living worm 20 C,19.1667,74.537,,,,
C,living worm 20 C,19.2,78.855,,,,
C,living worm 20 C,19.2333,82.901,,,,
C,living worm 20 C,19.2667,84.907,,,,
C,living worm 20 C,19.3,85.757,,,,
C,living worm 20 C,19.3333,87.083,,,,
C,living worm 20 C,19.3667,87.797,,,,
C,living worm 20 C,19.4,88.103,,,,
C,living worm 20 C,19.4333,88.103,,,,
C,living worm 20 C,19.4667,87.661,,,,
C,living worm 20 C,19.5,88.613,,,,
C,living worm 20 C,19.5333,89.531,,,,
C,living worm 20 C,19.5667,89.837,,,,
C,living worm 20 C,19.6,89.429,,,,
C,living worm 20 C,19.6333,91.299,,,,
C,living worm 20 C,19.6667,91.197,,,,
C,living worm 20 C,19.7,90.755,,,,
C,living worm 20 C,19.7333,90.789,,,,
C,living worm 20 C,19.7667,90.942,,,,
C,living worm 20 C,19.8,92.217,,,,
C,living worm 20 C,19.8333,91.979,,,,
C,living worm 20 C,19.8667,91.027,,,,
C,living worm 20 C,19.9,90.687,,,,
C,living worm 20 C,19.9333,90.211,,,,
C,living worm 20 C,19.9667,90.143,,,,
C,living worm 20 C,20,91.231,,,,
C,living worm 20 C,20.0333,90.925,,,,
C,living worm 20 C,20.0667,89.701,,,,
C,living worm 20 C,20.1,90.585,,,,
C,living worm 20 C,20.1333,92.149,,,,
C,living worm 20 C,20.1667,92.761,,,,
C,living worm 20 C,20.2,93.305,,,,
C,living worm 20 C,20.2333,93.713,,,,
C,living worm 20 C,20.2667,93.305,,,,
C,living worm 20 C,20.3,91.265,,,,
C,living worm 20 C,20.3333,90.993,,,,
C,living worm 20 C,20.3667,91.061,,,,
C,living worm 20 C,20.4,91.809,,,,
C,living worm 20 C,20.4333,92.795,,,,
C,living worm 20 C,20.4667,91.843,,,,
C,living worm 20 C,20.5,91.469,,,,
C,living worm 20 C,20.5333,92.489,,,,
C,living worm 20 C,20.5667,92.795,,,,
C,living worm 20 C,20.6,92.897,,,,
C,living worm 20 C,20.6333,92.965,,,,
C,living worm 20 C,20.6667,93.339,,,,
C,living worm 20 C,20.7,92.761,,,,
C,living worm 20 C,20.7333,92.251,,,,
C,living worm 20 C,20.7667,92.693,,,,
C,living worm 20 C,20.8,92.353,,,,
C,living worm 20 C,20.8333,93.305,,,,
C,living worm 20 C,20.8667,94.019,,,,
C,living worm 20 C,20.9,92.489,,,,
C,living worm 20 C,20.9333,93.101,,,,
C,living worm 20 C,20.9667,92.625,,,,
C,living worm 20 C,21,92.693,,,,
C,living worm 20 C,21.0333,93.271,,,,
C,living worm 20 C,21.0667,93.067,,,,
C,living worm 20 C,21.1,93.169,,,,
C,living worm 20 C,21.1333,93.203,,,,
C,living worm 20 C,21.1667,93.169,,,,
C,living worm 20 C,21.2,93.033,,,,
C,living worm 20 C,21.2333,92.727,,,,
C,living worm 20 C,21.2667,93.305,,,,
C,living worm 20 C,21.3,92.659,,,,
C,living worm 20 C,21.3333,92.047,,,,
C,living worm 20 C,21.3667,90.041,,,,
C,living worm 20 C,21.4,85.791,,,,
C,living worm 20 C,21.4333,82.119,,,,
C,living worm 20 C,21.4667,80.929,,,,
C,living worm 20 C,21.5,76.985,,,,
C,living worm 20 C,21.5333,72.293,,,,
C,living worm 20 C,21.5667,68.621,,,,
C,living worm 20 C,21.6,67.057,,,,
C,living worm 20 C,21.6333,68.281,,,,
C,living worm 20 C,21.6667,68.077,,,,
C,living worm 20 C,21.7,67.669,,,,
C,living worm 20 C,21.7333,67.125,,,,
C,living worm 20 C,21.7667,65.493,,,,
C,living worm 20 C,21.8,63.555,,,,
C,living worm 20 C,21.8333,60.801,,,,
C,living worm 20 C,21.8667,59.033,,,,
C,living worm 20 C,21.9,59.577,,,,
C,living worm 20 C,21.9333,57.061,,,,
C,living worm 20 C,21.9667,55.667,,,,
C,living worm 20 C,22,51.825,,,,
C,living worm 20 C,22.0333,50.839,,,,
C,living worm 20 C,22.0667,47.235,,,,
C,living worm 20 C,22.1,45.399,,,,
