series,t_min,x_cm_mm
living worm 20 C,29.5,58.489
living worm 20 C,29.5333,58.115
living worm 20 C,29.5667,58.557
living worm 20 C,29.6,60.121
living worm 20 C,29.6333,60.461
living worm 20 C,29.6667,61.447
living worm 20 C,29.7,63.351
living worm 20 C,29.7333,65.663
living worm 20 C,29.7667,69.165
living worm 20 C,29.8,71.851
living worm 20 C,29.8333,73.891
living worm 20 C,29.8667,74.265
living worm 20 C,29.9,73.347
living worm 20 C,29.9333,71.596
living worm 20 C,29.9667,70.593
living worm 20 C,30,70.151
living worm 20 C,30.0333,69.777
living worm 20 C,30.0667,68.859
living worm 20 C,30.1,71.579
living worm 20 C,30.1333,72.191
living worm 20 C,30.1667,71.239
living worm 20 C,30.2,71.137
living worm 20 C,30.2333,71.579
living worm 20 C,30.2667,71.783
living worm 20 C,30.3,71.647
living worm 20 C,30.3333,71.919
living worm 20 C,30.3667,70.151
living worm 20 C,30.4,68.247
living worm 20 C,30.4333,66.037
living worm 20 C,30.4667,63.215
living worm 20 C,30.5,60.665
living worm 20 C,30.5333,60.121
living worm 20 C,30.5667,62.365
living worm 20 C,30.6,63.555
living worm 20 C,30.6333,64.133
living worm 20 C,30.6667,66.241
living worm 20 C,30.7,69.063
living worm 20 C,30.7333,72.735
living worm 20 C,30.7667,76.713
living worm 20 C,30.8,82.731
living worm 20 C,30.8333,84.227
living worm 20 C,30.8667,85.689
living worm 20 C,30.9,87.049
living worm 20 C,30.9333,87.406
living worm 20 C,30.9667,87.95
living worm 20 C,31,88.341
living worm 20 C,31.0333,88.545
living worm 20 C,31.0667,88.647
living worm 20 C,31.1,88.069
living worm 20 C,31.1333,89.837
living worm 20 C,31.1667,87.491
living worm 20 C,31.2,86.301
living worm 20 C,31.2333,88.851
living worm 20 C,31.2667,87.559
living worm 20 C,31.3,87.083
living worm 20 C,31.3333,87.525
living worm 20 C,31.3667,87.321
living worm 20 C,31.4,87.525
living worm 20 C,31.4333,88.205
living worm 20 C,31.4667,88.273
living worm 20 C,31.5,88.545
living worm 20 C,31.5333,88.953
living worm 20 C,31.5667,88.613
living worm 20 C,31.6,88.783
living worm 20 C,31.6333,84.227
living worm 20 C,31.6667,83.343
living worm 20 C,31.7,83.479
living worm 20 C,31.7333,82.323
living worm 20 C,31.7667,79.093
living worm 20 C,31.8,80.759
living worm 20 C,31.8333,80.011
living worm 20 C,31.8667,80.249
living worm 20 C,31.9,79.943
